shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
tozan_rail,35.2466416,139.0501088,170,
tozan_rail,35.2463437,139.0486604,171,
tozan_rail,35.2464532,139.0482044,172,
tozan_rail,35.2467731,139.0479577,173,
tozan_rail,35.2491694,139.0486121,174,
tozan_rail,35.2508648,139.0483224,175,
cruise_poly,35.2378800,138.9945710,1,
cruise_poly,35.2326081,138.9924145,2,
cruise_poly,35.2213901,138.9973068,3,
cruise_poly,35.2098900,139.0040874,4,
cruise_poly,35.1991597,139.0197086,5,
cruise_poly,35.1896438,139.0255558,6,
cruise_poly,35.1991597,139.0197086,7,
cruise_poly,35.2009123,139.0306655,8,
